mySoftwarePosix[8193]  8 times, 866us total, 108us avg
mySoftwarePosix[8247]  8 times, 199us total, 24us avg
mySoftwarePosix[8215]  8 times, 393us total, 49us avg
mySoftwarePosix[8270]  8 times, 235us total, 29us avg
mySoftwarePosix[8143]  8 times, 163us total, 20us avg
mySoftwarePosix[8239]  8 times, 646us total, 80us avg
mySoftwarePosix[8262]  8 times, 149us total, 18us avg
mySoftwarePosix[8159]  8 times, 344us total, 43us avg
mySoftwarePosix[8176]  8 times, 498us total, 62us avg
mySoftwarePosix[8278]  8 times, 182us total, 22us avg
mySoftwarePosix[8151]  8 times, 183us total, 22us avg
mySoftwarePosix[8207]  8 times, 176us total, 22us avg
mySoftwarePosix[8184]  8 times, 215us total, 26us avg
mySoftwarePosix[8231]  8 times, 559us total, 69us avg
mySoftwarePosix[8223]  8 times, 148us total, 18us avg
mySoftwarePosix[8112]  8 times, 336us total, 42us avg

mySoftwareAtomi[9092]  8 times, 123us total, 15us avg
mySoftwareAtomi[9116]  8 times, 124us total, 15us avg
mySoftwareAtomi[9100]  8 times, 278us total, 34us avg
mySoftwareAtomi[8905]  8 times, 144us total, 18us avg
mySoftwareAtomi[8819]  8 times, 116us total, 14us avg
mySoftwareAtomi[8897]  8 times, 169us total, 21us avg
mySoftwareAtomi[9083]  8 times, 113us total, 14us avg
mySoftwareAtomi[8889]  8 times, 116us total, 14us avg
mySoftwareAtomi[9108]  8 times, 180us total, 22us avg
mySoftwareAtomi[9067]  8 times, 118us total, 14us avg

mySoftwareTestA[9783]  8 times, 377us total, 47us avg
mySoftwareTestA[9732]  8 times, 234us total, 29us avg
mySoftwareTestA[9757]  8 times, 226us total, 28us avg
mySoftwareTestA[9723]  8 times, 715us total, 89us avg
mySoftwareTestA[9748]  8 times, 131us total, 16us avg
mySoftwareTestA[9773]  8 times, 148us total, 18us avg
mySoftwareTestA[9793]  8 times, 878us total, 109us avg
mySoftwareTestA[9740]  8 times, 635us total, 79us avg
mySoftwareTestA[9801]  8 times, 541us total, 67us avg
mySoftwareTestA[9765]  8 times, 167us total, 20us avg
